Satisfaction,Observation,5ghi,2ghi,5gcm,5gcs,Alph,Acppc,Tobl,Blp10al,Macppc,Po5co5,Rmph,Rsph,Stco,Trcpc,Tume,Umempd,Umegmpd,Waps,War,Eain,Eaua,strn
Unsatisfied,1,No,No,3,8,4866,0.33,4.76,9.77,1,No,4+,8,6,1,10,8,3,8112,56784,5,0,Yes
Unsatisfied,2,No,No,0,0,32076,2,5.64,1.76,5,No,4+,8,20,8,3,1,1,2200.29,46206,5,7,No
Unsatisfied,3,Yes,No,2,7,41232,0.75,9.12,2.21,3,No,4+,7,12,3,3,1,1,494.69,6431,4,Don't know,Yes
Unsatisfied,4,Yes,No,0,0,105460,1.5,89.43,8.48,5,Yes,4+,4,18,6,17,6,3,254.79,4841,9,0,Yes
Somewhat Satisfied,5,No,No,0,0,21908,1,10.22,4.66,2,No,4+,9,19,4,0,0,0,136,2720,7,Don't know,Yes
Somewhat Satisfied,6,No,No,0,0,409,0,0.11,2.75,0,No,4+,7,2,0,0,0,0,1.33,4,8,8,No
Unsatisfied,7,No,Yes,1,1,22974,2.33,62.72,27.3,3,No,4+,9,8,7,0,0,0,140,1260,7,0,Yes
Somewhat Satisfied,8,No,No,1,2,28119,1.33,56.8,20.2,4,No,4+,14,18,4,3,2,2,47.37,900,,,Yes
Unsatisfied,9,No,No,0,0,29316,1,3.04,1.04,2,No,4+,14,7,3,1,1,1,728.63,5829,0,0,No
Unsatisfied,10,Yes,No,2,4,24618,1,19.31,7.84,3,No,4+,6,12,3,6,3,3,2036,26468,3,0,No
Somewhat Satisfied,11,Yes,No,0,0,46053,0.33,26.8,5.82,1,Yes,4+,5,11,1,0,0,0,70.17,842,6,9,Yes
Somewhat Satisfied,12,No,No,0,0,24588,2,365.03,148.45,3,No,4+,7,12,6,6,3,3,1477.92,19213,6,5,Yes
Somewhat Satisfied,13,No,No,0,0,46550,1,3.55,0.76,3,Yes,4+,16,22,5,4,1,1,406.13,9341,3,7,Yes
Somewhat Satisfied,14,No,No,0,0,14046,3.33,8.3,5.91,6,Yes,4+,9,16,10,18,10,3,661.88,11252,6,,No
Unsatisfied,15,Yes,No,0,0,35952,1,0.35,0.1,3,No,4+,8,12,3,1,1,1,1660.23,21583,2,3,No
Satisfied,16,Yes,No,0,0,14303,4,3.42,2.39,4,No,4+,7,9,4,0,0,0,109.6,1096,0,6,No
Unsatisfied,17,No,No,4+,4,16107,0.67,3.94,2.45,1,No,4+,9,9,2,33,17,3,88.9,889,2,1,No
